,city,lat,temp,cloudiness,humidity,pressure,wind
491,pombia,45.65,5.0,0,100,1008.0,0.5
492,north myrtle beach,33.83,11.8,90,71,1029.0,4.4
493,mahina,13.76,22.65,32,29,1004.27,4.0
494,zaozerne,51.37,2.75,76,79,996.33,7.7
495,puerto quijarro,-19.0,30.35,12,66,997.71,1.85
496,mindelo,41.31,6.0,0,93,1028.0,5.35
497,zelenogorskiy,55.03,-25.0,20,69,1025.0,3.0
498,mahibadhoo,3.78,27.73,88,100,1024.54,5.15
499,tagusao,9.19,24.9,48,100,1014.0,3.8
500,zemio,5.02,22.1,32,61,953.37,2.8
501,kuytun,54.34,-36.95,0,0,983.6,2.4
502,kvarkeno,52.08,-21.78,0,45,996.41,1.3
503,haicheng,40.85,-17.65,12,53,1016.92,1.85
504,oskemen,49.96,-23.0,40,76,1028.0,1.0
505,manoel urbano,-8.84,26.35,36,83,999.81,1.3
506,puerto baquerizo moreno,-0.9,27.0,20,83,1005.0,1.5
507,ullapool,57.9,5.1,68,100,1015.13,6.75
508,brae,60.4,3.0,32,69,1008.0,7.7
509,kribi,2.94,25.4,44,95,1006.95,1.95
510,cabedelo,-6.97,26.0,20,88,1013.0,3.1
511,zeya,53.74,-25.58,0,61,968.2,2.05
512,axim,4.87,27.33,12,99,1021.21,1.65
513,westerland,52.89,6.0,90,81,1004.0,7.2
514,molina,-35.11,26.0,0,31,1010.0,3.6
515,byron bay,-28.65,29.0,75,65,1009.0,5.1
516,sao gabriel da cachoeira,-0.13,24.18,32,94,1009.46,1.3
517,boyolangu,-8.09,23.18,36,95,983.6,2.0
518,amahai,-3.31,27.98,36,100,1026.81,3.3
519,rawson,-43.3,15.1,24,25,1011.89,3.85
520,praia da vitoria,38.73,16.0,40,93,1017.0,11.75
521,zorritos,-3.68,32.0,90,33,1008.0,1.5
522,tanete,-3.94,26.23,32,89,1013.92,1.3
523,tapejara,-23.73,27.65,48,63,964.88,1.6
524,nichinan,31.65,10.0,75,76,1023.0,5.1
525,benemerito de las americas,16.52,23.0,68,86,1010.19,1.0
526,carpentras,44.06,8.0,0,56,1018.0,2.1
527,birao,10.3,23.05,12,31,966.26,6.6
528,alamogordo,32.9,9.0,75,70,1015.0,2.1
529,tigil,57.8,-18.8,36,70,1010.51,1.95
530,jinchang,38.52,-25.93,0,35,805.51,0.95
531,shakhtinsk,49.71,-26.0,20,83,1021.0,2.0
532,wanning,48.64,6.0,75,97,1005.0,7.7
